# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: mu-sweep
# date (UTC): 2026-09-01T13:27:39Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# family: e1 = tier-direct A4 cell; hs/corpus = SqpDriver under kIpm;
# indefinite = tier-direct nonconvex QP fixture.
mu,family,id,status,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
1.000000e-01,e1,e1_f7_n20000_af01_m1e-4,optimal,5.399634e+00,51,52,1,102,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,6717,0,0,0,0,0,0,0,0,0,0,0,6.268119e-02,1.017722e-02,0,0
1.000000e+00,e1,e1_f7_n20000_af01_m1e-4,optimal,1.294838e+01,130,131,1,260,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,5.015862e-03,1.928127e-05,0,0
1.000000e-03,e1,e1_f7_n20000_af01_m1e-6,optimal,3.796013e+00,35,36,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,14738,0,0,0,0,0,0,0,0,0,0,0,1.144908e-01,5.680384e-03,0,0
1.000000e-02,e1,e1_f7_n20000_af01_m1e-6,optimal,3.238170e+00,29,30,1,58,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,14694,0,0,0,0,0,0,0,0,0,0,0,4.773815e-02,1.277305e-03,0,0
1.000000e-01,e1,e1_f7_n20000_af01_m1e-6,optimal,1.315522e+01,131,132,1,262,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,14879,0,0,0,0,0,0,0,0,0,0,0,7.715726e-03,2.060858e-04,0,0
1.000000e+00,e1,e1_f7_n20000_af01_m1e-6,optimal,1.328560e+01,133,134,1,266,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,14347,0,0,0,0,0,0,0,0,0,0,0,2.193484e-03,2.292459e-06,0,0
1.000000e-03,e1,e1_f7_n20000_af10_m1e-2,optimal,3.024229e+00,27,28,1,54,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746448e-01,5.315857e-02,0,0
1.000000e-02,e1,e1_f7_n20000_af10_m1e-2,optimal,2.741914e+00,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007294e-01,5.154815e-02,0,0
1.000000e-01,e1,e1_f7_n20000_af10_m1e-2,optimal,5.849403e+00,56,57,1,112,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625095e-02,5.551900e-04,0,0
1.000000e+00,e1,e1_f7_n20000_af10_m1e-2,optimal,4.944356e+00,47,48,1,94,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.971587e-02,5.041341e-04,0,0
