arm,task,sha,round,row_index,row,wall_s
03,T8.2,b43580f,4,2,f7_n1000_bound_physics/RelaxBounds,0.032013465
03,T8.2,b43580f,4,3,f7_n5000_bound_physics/MakeParameter,0.179411982
03,T8.2,b43580f,4,4,f7_n5000_bound_physics/MakeConstraint,0.173494300
03,T8.2,b43580f,4,5,f7_n5000_bound_physics/RelaxBounds,0.173318741
03,T8.2,b43580f,4,6,f7_n10000_bound_neutral/MakeParameter,0.540967692
03,T8.2,b43580f,4,7,f7_n10000_bound_neutral/MakeConstraint,0.522303463
03,T8.2,b43580f,4,8,f7_n10000_bound_neutral/RelaxBounds,0.522736241
03,T8.2,b43580f,4,9,f7_n20000_bound_neutral/MakeParameter,1.132820069
03,T8.2,b43580f,4,10,f7_n20000_bound_neutral/MakeConstraint,1.096734873
03,T8.2,b43580f,4,11,f7_n20000_bound_neutral/RelaxBounds,1.096066917
03,T8.2,b43580f,4,12,hs071_x1_fixed/MakeParameter,0.000175409
03,T8.2,b43580f,4,13,hs071_x1_fixed/MakeConstraint,0.000128959
03,T8.2,b43580f,4,14,hs071_x1_fixed/RelaxBounds,0.000131740
03,T8.2,b43580f,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016054612
03,T8.2,b43580f,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000077190
03,T8.2,b43580f,4,17,infeas2_spike/MakeParameter/stalled,0.000617437
03,T8.2,b43580f,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000193349
03,T8.2,b43580f,5,0,f7_n1000_bound_physics/MakeParameter,0.381508425
03,T8.2,b43580f,5,1,f7_n1000_bound_physics/MakeConstraint,0.032016315
03,T8.2,b43580f,5,2,f7_n1000_bound_physics/RelaxBounds,0.031985125
03,T8.2,b43580f,5,3,f7_n5000_bound_physics/MakeParameter,0.179037784
03,T8.2,b43580f,5,4,f7_n5000_bound_physics/MakeConstraint,0.176148498
03,T8.2,b43580f,5,5,f7_n5000_bound_physics/RelaxBounds,0.173314572
03,T8.2,b43580f,5,6,f7_n10000_bound_neutral/MakeParameter,0.541422851
03,T8.2,b43580f,5,7,f7_n10000_bound_neutral/MakeConstraint,0.521987534
03,T8.2,b43580f,5,8,f7_n10000_bound_neutral/RelaxBounds,0.523099959
03,T8.2,b43580f,5,9,f7_n20000_bound_neutral/MakeParameter,1.132604060
03,T8.2,b43580f,5,10,f7_n20000_bound_neutral/MakeConstraint,1.092947662
03,T8.2,b43580f,5,11,f7_n20000_bound_neutral/RelaxBounds,1.093677938
03,T8.2,b43580f,5,12,hs071_x1_fixed/MakeParameter,0.000178659
03,T8.2,b43580f,5,13,hs071_x1_fixed/MakeConstraint,0.000128539
03,T8.2,b43580f,5,14,hs071_x1_fixed/RelaxBounds,0.000135609
03,T8.2,b43580f,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016111802
03,T8.2,b43580f,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000077130
03,T8.2,b43580f,5,17,infeas2_spike/MakeParameter/stalled,0.000619248
03,T8.2,b43580f,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000186089
04,T8.3,510a4bb,1,0,f7_n1000_bound_physics/MakeParameter,0.374226859
04,T8.3,510a4bb,1,1,f7_n1000_bound_physics/MakeConstraint,0.031973295
04,T8.3,510a4bb,1,2,f7_n1000_bound_physics/RelaxBounds,0.032047625
04,T8.3,510a4bb,1,3,f7_n5000_bound_physics/MakeParameter,0.179157253
04,T8.3,510a4bb,1,4,f7_n5000_bound_physics/MakeConstraint,0.173015823
04,T8.3,510a4bb,1,5,f7_n5000_bound_physics/RelaxBounds,0.173088883
04,T8.3,510a4bb,1,6,f7_n10000_bound_neutral/MakeParameter,0.540751173
04,T8.3,510a4bb,1,7,f7_n10000_bound_neutral/MakeConstraint,0.521481087
04,T8.3,510a4bb,1,8,f7_n10000_bound_neutral/RelaxBounds,0.522436812
04,T8.3,510a4bb,1,9,f7_n20000_bound_neutral/MakeParameter,1.127017937
04,T8.3,510a4bb,1,10,f7_n20000_bound_neutral/MakeConstraint,1.095788948
04,T8.3,510a4bb,1,11,f7_n20000_bound_neutral/RelaxBounds,1.093592159
04,T8.3,510a4bb,1,12,hs071_x1_fixed/MakeParameter,0.000176039
04,T8.3,510a4bb,1,13,hs071_x1_fixed/MakeConstraint,0.000124070
04,T8.3,510a4bb,1,14,hs071_x1_fixed/RelaxBounds,0.000129179
04,T8.3,510a4bb,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016051412
04,T8.3,510a4bb,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000074410
04,T8.3,510a4bb,1,17,infeas2_spike/MakeParameter/stalled,0.000579077
04,T8.3,510a4bb,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000179149
04,T8.3,510a4bb,2,0,f7_n1000_bound_physics/MakeParameter,0.382045982
04,T8.3,510a4bb,2,1,f7_n1000_bound_physics/MakeConstraint,0.031907695
04,T8.3,510a4bb,2,2,f7_n1000_bound_physics/RelaxBounds,0.031827145
04,T8.3,510a4bb,2,3,f7_n5000_bound_physics/MakeParameter,0.178868050
04,T8.3,510a4bb,2,4,f7_n5000_bound_physics/MakeConstraint,0.173139428
04,T8.3,510a4bb,2,5,f7_n5000_bound_physics/RelaxBounds,0.173124198
04,T8.3,510a4bb,2,6,f7_n10000_bound_neutral/MakeParameter,0.542996810
04,T8.3,510a4bb,2,7,f7_n10000_bound_neutral/MakeConstraint,0.523147966
04,T8.3,510a4bb,2,8,f7_n10000_bound_neutral/RelaxBounds,0.521670873
04,T8.3,510a4bb,2,9,f7_n20000_bound_neutral/MakeParameter,1.125897954
