arm,arm_label,row,round,wall_s
a4,E2,f7_n1000_bound_physics/RelaxBounds,2,0.032679261
a4,E2,f7_n5000_bound_physics/MakeParameter,2,0.186580377
a4,E2,f7_n5000_bound_physics/MakeConstraint,2,0.179557841
a4,E2,f7_n5000_bound_physics/RelaxBounds,2,0.177866139
a4,E2,f7_n10000_bound_neutral/MakeParameter,2,0.554962715
a4,E2,f7_n10000_bound_neutral/MakeConstraint,2,0.537361060
a4,E2,f7_n10000_bound_neutral/RelaxBounds,2,0.538495995
a4,E2,f7_n20000_bound_neutral/MakeParameter,2,1.157033542
a4,E2,f7_n20000_bound_neutral/MakeConstraint,2,1.113727442
a4,E2,f7_n20000_bound_neutral/RelaxBounds,2,1.122619179
a4,E2,hs071_x1_fixed/MakeParameter,2,0.000182569
a4,E2,hs071_x1_fixed/MakeConstraint,2,0.000140199
a4,E2,hs071_x1_fixed/RelaxBounds,2,0.000136289
a4,E2,f7_n1000_bound_physics/MakeConstraint,3,0.032734271
a4,E2,f7_n1000_bound_physics/RelaxBounds,3,0.032609153
a4,E2,f7_n5000_bound_physics/MakeParameter,3,0.186678536
a4,E2,f7_n5000_bound_physics/MakeConstraint,3,0.180096909
a4,E2,f7_n5000_bound_physics/RelaxBounds,3,0.178136748
a4,E2,f7_n10000_bound_neutral/MakeParameter,3,0.554727637
a4,E2,f7_n10000_bound_neutral/MakeConstraint,3,0.537214001
a4,E2,f7_n10000_bound_neutral/RelaxBounds,3,0.540629725
a4,E2,f7_n20000_bound_neutral/MakeParameter,3,1.159118452
a4,E2,f7_n20000_bound_neutral/MakeConstraint,3,1.118738497
a4,E2,f7_n20000_bound_neutral/RelaxBounds,3,1.120976447
a4,E2,hs071_x1_fixed/MakeParameter,3,0.000188709
a4,E2,hs071_x1_fixed/MakeConstraint,3,0.000137420
a4,E2,hs071_x1_fixed/RelaxBounds,3,0.000135699
a4,E2,f7_n1000_bound_physics/MakeConstraint,4,0.032593132
a4,E2,f7_n1000_bound_physics/RelaxBounds,4,0.032516552
a4,E2,f7_n5000_bound_physics/MakeParameter,4,0.185878751
a4,E2,f7_n5000_bound_physics/MakeConstraint,4,0.179688001
a4,E2,f7_n5000_bound_physics/RelaxBounds,4,0.177515951
a4,E2,f7_n10000_bound_neutral/MakeParameter,4,0.553807071
a4,E2,f7_n10000_bound_neutral/MakeConstraint,4,0.540320406
a4,E2,f7_n10000_bound_neutral/RelaxBounds,4,0.540582884
a4,E2,f7_n20000_bound_neutral/MakeParameter,4,1.157245391
a4,E2,f7_n20000_bound_neutral/MakeConstraint,4,1.111946750
a4,E2,f7_n20000_bound_neutral/RelaxBounds,4,1.115042355
a4,E2,hs071_x1_fixed/MakeParameter,4,0.000187379
a4,E2,hs071_x1_fixed/MakeConstraint,4,0.000145100
a4,E2,hs071_x1_fixed/RelaxBounds,4,0.000134229
a4,E2,f7_n1000_bound_physics/MakeConstraint,5,0.032539273
a4,E2,f7_n1000_bound_physics/RelaxBounds,5,0.032569023
a4,E2,f7_n5000_bound_physics/MakeParameter,5,0.186339559
a4,E2,f7_n5000_bound_physics/MakeConstraint,5,0.181877860
