arm,kind,round,row_index,row,wall_s
e3,E1,2,4,f7_n5000_bound_physics/MakeConstraint,0.178887382
e3,E1,2,5,f7_n5000_bound_physics/RelaxBounds,0.177323939
e3,E1,2,6,f7_n10000_bound_neutral/MakeParameter,0.547274644
e3,E1,2,7,f7_n10000_bound_neutral/MakeConstraint,0.539053654
e3,E1,2,8,f7_n10000_bound_neutral/RelaxBounds,0.536714926
e3,E1,2,9,f7_n20000_bound_neutral/MakeParameter,1.159853663
e3,E1,2,10,f7_n20000_bound_neutral/MakeConstraint,1.122524944
e3,E1,2,11,f7_n20000_bound_neutral/RelaxBounds,1.111041640
e3,E1,2,12,hs071_x1_fixed/MakeParameter,0.000181629
e3,E1,2,13,hs071_x1_fixed/MakeConstraint,0.000131329
e3,E1,2,14,hs071_x1_fixed/RelaxBounds,0.000134540
e3,E1,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016902338
e3,E1,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000080139
e3,E1,2,17,infeas2_spike/MakeParameter/stalled,0.000599477
e3,E1,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000183459
e3,E1,3,0,f7_n1000_bound_physics/MakeParameter,0.240439584
e3,E1,3,1,f7_n1000_bound_physics/MakeConstraint,0.032586322
e3,E1,3,2,f7_n1000_bound_physics/RelaxBounds,0.032484863
e3,E1,3,3,f7_n5000_bound_physics/MakeParameter,0.186053408
e3,E1,3,4,f7_n5000_bound_physics/MakeConstraint,0.179285610
e3,E1,3,5,f7_n5000_bound_physics/RelaxBounds,0.177950377
e3,E1,3,6,f7_n10000_bound_neutral/MakeParameter,0.545431184
e3,E1,3,7,f7_n10000_bound_neutral/MakeConstraint,0.538428958
e3,E1,3,8,f7_n10000_bound_neutral/RelaxBounds,0.534634326
e3,E1,3,9,f7_n20000_bound_neutral/MakeParameter,1.156116881
e3,E1,3,10,f7_n20000_bound_neutral/MakeConstraint,1.120523314
e3,E1,3,11,f7_n20000_bound_neutral/RelaxBounds,1.111916605
e3,E1,3,12,hs071_x1_fixed/MakeParameter,0.000176549
e3,E1,3,13,hs071_x1_fixed/MakeConstraint,0.000129320
e3,E1,3,14,hs071_x1_fixed/RelaxBounds,0.000132489
e3,E1,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016870358
e3,E1,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000080390
e3,E1,3,17,infeas2_spike/MakeParameter/stalled,0.000591398
e3,E1,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181339
e3,E1,4,0,f7_n1000_bound_physics/MakeParameter,0.194243007
e3,E1,4,1,f7_n1000_bound_physics/MakeConstraint,0.032588112
e3,E1,4,2,f7_n1000_bound_physics/RelaxBounds,0.032498582
e3,E1,4,3,f7_n5000_bound_physics/MakeParameter,0.185865618
e3,E1,4,4,f7_n5000_bound_physics/MakeConstraint,0.178705393
e3,E1,4,5,f7_n5000_bound_physics/RelaxBounds,0.177385129
e3,E1,4,6,f7_n10000_bound_neutral/MakeParameter,0.545779882
e3,E1,4,7,f7_n10000_bound_neutral/MakeConstraint,0.536614156
e3,E1,4,8,f7_n10000_bound_neutral/RelaxBounds,0.535226043
e3,E1,4,9,f7_n20000_bound_neutral/MakeParameter,1.154348089
e3,E1,4,10,f7_n20000_bound_neutral/MakeConstraint,1.122190075
e3,E1,4,11,f7_n20000_bound_neutral/RelaxBounds,1.110198973
e3,E1,4,12,hs071_x1_fixed/MakeParameter,0.000181189
e3,E1,4,13,hs071_x1_fixed/MakeConstraint,0.000129649
e3,E1,4,14,hs071_x1_fixed/RelaxBounds,0.000133869
e3,E1,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016973068
e3,E1,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000079640
e3,E1,4,17,infeas2_spike/MakeParameter/stalled,0.000597757
e3,E1,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000183739
e3,E1,5,0,f7_n1000_bound_physics/MakeParameter,0.203619882
e3,E1,5,1,f7_n1000_bound_physics/MakeConstraint,0.032509383
e3,E1,5,2,f7_n1000_bound_physics/RelaxBounds,0.032561492
e3,E1,5,3,f7_n5000_bound_physics/MakeParameter,0.185619239
e3,E1,5,4,f7_n5000_bound_physics/MakeConstraint,0.178695253
e3,E1,5,5,f7_n5000_bound_physics/RelaxBounds,0.177457549
e3,E1,5,6,f7_n10000_bound_neutral/MakeParameter,0.548982976
e3,E1,5,7,f7_n10000_bound_neutral/MakeConstraint,0.540013680
e3,E1,5,8,f7_n10000_bound_neutral/RelaxBounds,0.535900270
e3,E1,5,9,f7_n20000_bound_neutral/MakeParameter,1.156343990
e3,E1,5,10,f7_n20000_bound_neutral/MakeConstraint,1.120264895
e3,E1,5,11,f7_n20000_bound_neutral/RelaxBounds,1.110142814
e3,E1,5,12,hs071_x1_fixed/MakeParameter,0.000181059
e3,E1,5,13,hs071_x1_fixed/MakeConstraint,0.000134509
e3,E1,5,14,hs071_x1_fixed/RelaxBounds,0.000132809
e3,E1,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016870618
e3,E1,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000080600
e3,E1,5,17,infeas2_spike/MakeParameter/stalled,0.000596417
e3,E1,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000182969
e4,E2,1,0,f7_n1000_bound_physics/MakeParameter,0.319865678
e4,E2,1,1,f7_n1000_bound_physics/MakeConstraint,0.031860385
e4,E2,1,2,f7_n1000_bound_physics/RelaxBounds,0.031758456
e4,E2,1,3,f7_n5000_bound_physics/MakeParameter,0.178397784
e4,E2,1,4,f7_n5000_bound_physics/MakeConstraint,0.172950251
e4,E2,1,5,f7_n5000_bound_physics/RelaxBounds,0.173045110
e4,E2,1,6,f7_n10000_bound_neutral/MakeParameter,0.537425573
e4,E2,1,7,f7_n10000_bound_neutral/MakeConstraint,0.522443295
e4,E2,1,8,f7_n10000_bound_neutral/RelaxBounds,0.520969843
e4,E2,1,9,f7_n20000_bound_neutral/MakeParameter,1.124070616
e4,E2,1,10,f7_n20000_bound_neutral/MakeConstraint,1.089583703
e4,E2,1,11,f7_n20000_bound_neutral/RelaxBounds,1.088543929
e4,E2,1,12,hs071_x1_fixed/MakeParameter,0.000181899
e4,E2,1,13,hs071_x1_fixed/MakeConstraint,0.000127599
e4,E2,1,14,hs071_x1_fixed/RelaxBounds,0.000140979
e4,E2,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016038992
e4,E2,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000074729
e4,E2,1,17,infeas2_spike/MakeParameter/stalled,0.000587948
e4,E2,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000180929
e4,E2,2,0,f7_n1000_bound_physics/MakeParameter,0.310950101
e4,E2,2,1,f7_n1000_bound_physics/MakeConstraint,0.031758376
e4,E2,2,2,f7_n1000_bound_physics/RelaxBounds,0.031750826
e4,E2,2,3,f7_n5000_bound_physics/MakeParameter,0.178350474
e4,E2,2,4,f7_n5000_bound_physics/MakeConstraint,0.172686462
e4,E2,2,5,f7_n5000_bound_physics/RelaxBounds,0.172858101
e4,E2,2,6,f7_n10000_bound_neutral/MakeParameter,0.537275193
e4,E2,2,7,f7_n10000_bound_neutral/MakeConstraint,0.523010902
e4,E2,2,8,f7_n10000_bound_neutral/RelaxBounds,0.521150812
e4,E2,2,9,f7_n20000_bound_neutral/MakeParameter,1.124802883
e4,E2,2,10,f7_n20000_bound_neutral/MakeConstraint,1.089198136
e4,E2,2,11,f7_n20000_bound_neutral/RelaxBounds,1.089733473
e4,E2,2,12,hs071_x1_fixed/MakeParameter,0.000172309
e4,E2,2,13,hs071_x1_fixed/MakeConstraint,0.000124229
e4,E2,2,14,hs071_x1_fixed/RelaxBounds,0.000128550
e4,E2,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016016332
e4,E2,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000084800
e4,E2,2,17,infeas2_spike/MakeParameter/stalled,0.000597857
e4,E2,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181189
e4,E2,3,0,f7_n1000_bound_physics/MakeParameter,0.321906699
e4,E2,3,1,f7_n1000_bound_physics/MakeConstraint,0.031877716
e4,E2,3,2,f7_n1000_bound_physics/RelaxBounds,0.031829536
e4,E2,3,3,f7_n5000_bound_physics/MakeParameter,0.178665644
e4,E2,3,4,f7_n5000_bound_physics/MakeConstraint,0.173913646
e4,E2,3,5,f7_n5000_bound_physics/RelaxBounds,0.173085080
e4,E2,3,6,f7_n10000_bound_neutral/MakeParameter,0.537993180
e4,E2,3,7,f7_n10000_bound_neutral/MakeConstraint,0.524992253
e4,E2,3,8,f7_n10000_bound_neutral/RelaxBounds,0.522527285
e4,E2,3,9,f7_n20000_bound_neutral/MakeParameter,1.125935257
e4,E2,3,10,f7_n20000_bound_neutral/MakeConstraint,1.098052943
e4,E2,3,11,f7_n20000_bound_neutral/RelaxBounds,1.096726459
e4,E2,3,12,hs071_x1_fixed/MakeParameter,0.000172779
e4,E2,3,13,hs071_x1_fixed/MakeConstraint,0.000125820
e4,E2,3,14,hs071_x1_fixed/RelaxBounds,0.000128349
e4,E2,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016065412
e4,E2,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000085419
e4,E2,3,17,infeas2_spike/MakeParameter/stalled,0.000592657
e4,E2,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000187599
e4,E2,4,0,f7_n1000_bound_physics/MakeParameter,0.090513751
e4,E2,4,1,f7_n1000_bound_physics/MakeConstraint,0.031888015
e4,E2,4,2,f7_n1000_bound_physics/RelaxBounds,0.031857545
e4,E2,4,3,f7_n5000_bound_physics/MakeParameter,0.178749263
e4,E2,4,4,f7_n5000_bound_physics/MakeConstraint,0.173516539
