arm,commit,sha,round,row_index,row,wall_s
02,8ae1618,8ae1618,4,13,hs071_x1_fixed/MakeConstraint,0.000124949
02,8ae1618,8ae1618,4,14,hs071_x1_fixed/RelaxBounds,0.000134889
02,8ae1618,8ae1618,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016314161
02,8ae1618,8ae1618,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000076050
02,8ae1618,8ae1618,4,17,infeas2_spike/MakeParameter/stalled,0.000599937
02,8ae1618,8ae1618,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181769
02,8ae1618,8ae1618,5,0,f7_n1000_bound_physics/MakeParameter,0.289488646
02,8ae1618,8ae1618,5,1,f7_n1000_bound_physics/MakeConstraint,0.032277484
02,8ae1618,8ae1618,5,2,f7_n1000_bound_physics/RelaxBounds,0.032205214
02,8ae1618,8ae1618,5,3,f7_n5000_bound_physics/MakeParameter,0.180890782
02,8ae1618,8ae1618,5,4,f7_n5000_bound_physics/MakeConstraint,0.174974341
02,8ae1618,8ae1618,5,5,f7_n5000_bound_physics/RelaxBounds,0.176133096
02,8ae1618,8ae1618,5,6,f7_n10000_bound_neutral/MakeParameter,0.537985220
02,8ae1618,8ae1618,5,7,f7_n10000_bound_neutral/MakeConstraint,0.526223746
02,8ae1618,8ae1618,5,8,f7_n10000_bound_neutral/RelaxBounds,0.527893449
02,8ae1618,8ae1618,5,9,f7_n20000_bound_neutral/MakeParameter,1.136576465
02,8ae1618,8ae1618,5,10,f7_n20000_bound_neutral/MakeConstraint,1.100099962
02,8ae1618,8ae1618,5,11,f7_n20000_bound_neutral/RelaxBounds,1.101004888
02,8ae1618,8ae1618,5,12,hs071_x1_fixed/MakeParameter,0.000170169
02,8ae1618,8ae1618,5,13,hs071_x1_fixed/MakeConstraint,0.000124539
02,8ae1618,8ae1618,5,14,hs071_x1_fixed/RelaxBounds,0.000128490
02,8ae1618,8ae1618,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016169691
02,8ae1618,8ae1618,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000077100
02,8ae1618,8ae1618,5,17,infeas2_spike/MakeParameter/stalled,0.000699056
02,8ae1618,8ae1618,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000183950
03,9cebbbe,9cebbbe,1,0,f7_n1000_bound_physics/MakeParameter,0.370591152
03,9cebbbe,9cebbbe,1,1,f7_n1000_bound_physics/MakeConstraint,0.032867510
03,9cebbbe,9cebbbe,1,2,f7_n1000_bound_physics/RelaxBounds,0.032820960
03,9cebbbe,9cebbbe,1,3,f7_n5000_bound_physics/MakeParameter,0.187412881
03,9cebbbe,9cebbbe,1,4,f7_n5000_bound_physics/MakeConstraint,0.179239751
03,9cebbbe,9cebbbe,1,5,f7_n5000_bound_physics/RelaxBounds,0.179197851
03,9cebbbe,9cebbbe,1,6,f7_n10000_bound_neutral/MakeParameter,0.556327591
03,9cebbbe,9cebbbe,1,7,f7_n10000_bound_neutral/MakeConstraint,0.538425699
03,9cebbbe,9cebbbe,1,8,f7_n10000_bound_neutral/RelaxBounds,0.539113204
03,9cebbbe,9cebbbe,1,9,f7_n20000_bound_neutral/MakeParameter,1.162982417
03,9cebbbe,9cebbbe,1,10,f7_n20000_bound_neutral/MakeConstraint,1.137982659
03,9cebbbe,9cebbbe,1,11,f7_n20000_bound_neutral/RelaxBounds,1.137524381
03,9cebbbe,9cebbbe,1,12,hs071_x1_fixed/MakeParameter,0.000180970
03,9cebbbe,9cebbbe,1,13,hs071_x1_fixed/MakeConstraint,0.000138349
03,9cebbbe,9cebbbe,1,14,hs071_x1_fixed/RelaxBounds,0.000137329
03,9cebbbe,9cebbbe,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016809789
03,9cebbbe,9cebbbe,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000088319
03,9cebbbe,9cebbbe,1,17,infeas2_spike/MakeParameter/stalled,0.000619577
03,9cebbbe,9cebbbe,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000197749
03,9cebbbe,9cebbbe,2,0,f7_n1000_bound_physics/MakeParameter,0.317276301
03,9cebbbe,9cebbbe,2,1,f7_n1000_bound_physics/MakeConstraint,0.032913460
03,9cebbbe,9cebbbe,2,2,f7_n1000_bound_physics/RelaxBounds,0.033004850
03,9cebbbe,9cebbbe,2,3,f7_n5000_bound_physics/MakeParameter,0.188074818
03,9cebbbe,9cebbbe,2,4,f7_n5000_bound_physics/MakeConstraint,0.180725513
03,9cebbbe,9cebbbe,2,5,f7_n5000_bound_physics/RelaxBounds,0.180663134
03,9cebbbe,9cebbbe,2,6,f7_n10000_bound_neutral/MakeParameter,0.560247262
03,9cebbbe,9cebbbe,2,7,f7_n10000_bound_neutral/MakeConstraint,0.546536458
03,9cebbbe,9cebbbe,2,8,f7_n10000_bound_neutral/RelaxBounds,0.542256179
03,9cebbbe,9cebbbe,2,9,f7_n20000_bound_neutral/MakeParameter,1.166834419
03,9cebbbe,9cebbbe,2,10,f7_n20000_bound_neutral/MakeConstraint,1.134023778
03,9cebbbe,9cebbbe,2,11,f7_n20000_bound_neutral/RelaxBounds,1.134028228
03,9cebbbe,9cebbbe,2,12,hs071_x1_fixed/MakeParameter,0.000198579
03,9cebbbe,9cebbbe,2,13,hs071_x1_fixed/MakeConstraint,0.000138919
03,9cebbbe,9cebbbe,2,14,hs071_x1_fixed/RelaxBounds,0.000147310
03,9cebbbe,9cebbbe,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016927398
03,9cebbbe,9cebbbe,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000082710
03,9cebbbe,9cebbbe,2,17,infeas2_spike/MakeParameter/stalled,0.000643377
03,9cebbbe,9cebbbe,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000192859
03,9cebbbe,9cebbbe,3,0,f7_n1000_bound_physics/MakeParameter,0.178351185
03,9cebbbe,9cebbbe,3,1,f7_n1000_bound_physics/MakeConstraint,0.033106269
03,9cebbbe,9cebbbe,3,2,f7_n1000_bound_physics/RelaxBounds,0.033066770
03,9cebbbe,9cebbbe,3,3,f7_n5000_bound_physics/MakeParameter,0.188413056
03,9cebbbe,9cebbbe,3,4,f7_n5000_bound_physics/MakeConstraint,0.180773473
03,9cebbbe,9cebbbe,3,5,f7_n5000_bound_physics/RelaxBounds,0.180920332
03,9cebbbe,9cebbbe,3,6,f7_n10000_bound_neutral/MakeParameter,0.560808209
03,9cebbbe,9cebbbe,3,7,f7_n10000_bound_neutral/MakeConstraint,0.542928656
03,9cebbbe,9cebbbe,3,8,f7_n10000_bound_neutral/RelaxBounds,0.543141335
03,9cebbbe,9cebbbe,3,9,f7_n20000_bound_neutral/MakeParameter,1.180956450
03,9cebbbe,9cebbbe,3,10,f7_n20000_bound_neutral/MakeConstraint,1.137670750
03,9cebbbe,9cebbbe,3,11,f7_n20000_bound_neutral/RelaxBounds,1.137652620
03,9cebbbe,9cebbbe,3,12,hs071_x1_fixed/MakeParameter,0.000182449
03,9cebbbe,9cebbbe,3,13,hs071_x1_fixed/MakeConstraint,0.000142589
03,9cebbbe,9cebbbe,3,14,hs071_x1_fixed/RelaxBounds,0.000145649
