arm,task,sha,mode,cell,round,instructions,branches,cycles,branch_misses,l1_icache_load_misses
a06,T8.5,8f95655,ipm,f7_n20000_bound_neutral,5,15965048344,2406771721,5248661951,8297890,773575
a06,T8.5,8f95655,ssn,f7_n1000_bound_neutral,1,488897110,77396043,177775235,575370,32040
a06,T8.5,8f95655,ssn,f7_n1000_bound_neutral,2,488896569,77396043,178275033,589298,31419
a06,T8.5,8f95655,ssn,f7_n1000_bound_neutral,3,488896309,77395964,178633290,588341,31704
a06,T8.5,8f95655,ssn,f7_n1000_bound_neutral,4,488896311,77395963,178001754,581618,31864
a06,T8.5,8f95655,ssn,f7_n1000_bound_neutral,5,488896699,77396071,178891134,589186,30996
a06,T8.5,8f95655,ssn,f7_n5000_bound_neutral,1,2630716729,414208555,946196420,2266589,161454
a06,T8.5,8f95655,ssn,f7_n5000_bound_neutral,2,2630717346,414208795,947003115,2271186,163039
a06,T8.5,8f95655,ssn,f7_n5000_bound_neutral,3,2630722379,414210677,944116732,2255334,160310
a06,T8.5,8f95655,ssn,f7_n5000_bound_neutral,4,2630722377,414210670,946897769,2263126,163097
a06,T8.5,8f95655,ssn,f7_n5000_bound_neutral,5,2630722363,414210668,947364378,2261258,160843
a06,T8.5,8f95655,ssn,f7_n20000_bound_neutral,1,11682945913,1836667594,4304862108,9427150,676165
a06,T8.5,8f95655,ssn,f7_n20000_bound_neutral,2,11682945905,1836667593,4312995768,9365514,684423
a06,T8.5,8f95655,ssn,f7_n20000_bound_neutral,3,11682940670,1836665630,4301672665,9363103,685323
a06,T8.5,8f95655,ssn,f7_n20000_bound_neutral,4,11682947297,1836668987,4318075467,9473859,659742
a06,T8.5,8f95655,ssn,f7_n20000_bound_neutral,5,11682946213,1836667679,4315152642,9468186,670701
a06,T8.5,8f95655,walk,f7_n1000_bound_neutral,1,261641232,39805770,87479717,302116,15103
a06,T8.5,8f95655,walk,f7_n1000_bound_neutral,2,261641943,39806000,88971839,297952,15856
a06,T8.5,8f95655,walk,f7_n1000_bound_neutral,3,261641952,39805992,87195907,299724,15998
a06,T8.5,8f95655,walk,f7_n1000_bound_neutral,4,261607291,39792997,87707665,300655,15122
a06,T8.5,8f95655,walk,f7_n1000_bound_neutral,5,261636396,39803911,87263568,299161,15519
a06,T8.5,8f95655,walk,f7_n5000_bound_neutral,1,1335662011,202649513,434542381,1225701,57129
a06,T8.5,8f95655,walk,f7_n5000_bound_neutral,2,1335655078,202646912,434636933,1228252,57508
